Date,GOOGL High,GOOGL Low,GOOGL Volume
2016-01-04,762.2000122070312,747.5399780273438,3369100
2016-01-05,769.2000122070312,755.6500244140625,2260800
2016-01-06,765.72998046875,748.0,2410300
2016-01-07,755.3099975585938,735.280029296875,3156600
2016-01-08,750.1199951171875,728.9199829101562,2375300
2016-01-11,735.0800170898438,719.5599975585938,2544800
2016-01-12,748.3400268554688,736.4299926757812,2340800
2016-01-13,753.0,716.780029296875,2586400
2016-01-14,739.8900146484375,705.0,2777900
2016-01-15,724.1599731445312,701.510009765625,3833800
2016-01-19,725.3499755859375,709.8499755859375,2436200
2016-01-20,726.9500122070312,687.780029296875,4122000
2016-01-21,737.6699829101562,711.1099853515625,2596900
2016-01-22,748.5599975585938,740.5,2357300
2016-01-25,752.4600219726562,732.5,2267000
2016-01-26,739.4600219726562,726.969970703125,1547000
2016-01-27,735.8900146484375,713.4500122070312,2121400
2016-01-28,751.1599731445312,730.5999755859375,3105200
2016-01-29,765.1099853515625,744.2000122070312,3790400
2016-02-01,777.5900268554688,761.3800048828125,5576100
2016-02-02,810.3499755859375,780.5999755859375,6792300
2016-02-03,791.4299926757812,736.260009765625,6555700
2016-02-04,745.239990234375,722.5999755859375,5246100
2016-02-05,726.719970703125,700.1400146484375,5477800
2016-02-08,704.52001953125,682.010009765625,4470500
2016-02-09,720.9600219726562,688.5,4215000
2016-02-10,723.219970703125,705.3900146484375,3015700
2016-02-11,712.3200073242188,691.1900024414062,3250200
2016-02-12,716.0,701.5800170898438,2326900
2016-02-16,722.8800048828125,710.1799926757812,2172200
2016-02-17,733.760009765625,716.6099853515625,2457700
2016-02-18,736.0,715.5499877929688,2363800
2016-02-19,724.030029296875,713.1199951171875,1745900
2016-02-22,734.8499755859375,723.4500122070312,1875800
2016-02-23,730.9000244140625,715.6699829101562,2066600
2016-02-24,721.219970703125,702.02001953125,1854600
2016-02-25,729.510009765625,713.22998046875,1807300
2016-02-26,736.1599731445312,721.9400024414062,2123700
2016-02-29,730.5999755859375,716.8400268554688,2253400
2016-03-01,742.3300170898438,718.6400146484375,3005600
2016-03-02,743.1199951171875,733.25,1814600
2016-03-03,741.0,729.6300048828125,2026700
2016-03-04,735.0,725.6199951171875,2425800
2016-03-07,727.2100219726562,705.1400146484375,3084500
2016-03-08,722.25,704.0,2626500
2016-03-09,726.239990234375,712.6599731445312,1977200
2016-03-10,736.5399780273438,723.2899780273438,2230800
2016-03-11,744.9000244140625,736.7000122070312,1769000
2016-03-14,754.260009765625,743.6599731445312,1641200
2016-03-15,753.010009765625,742.8400268554688,1491600
2016-03-16,759.0,746.5,1465300
2016-03-17,765.3400268554688,757.3599853515625,2228200
2016-03-18,762.1400146484375,751.8200073242188,2811100
2016-03-21,763.3400268554688,751.27001953125,1438700
2016-03-22,765.0,757.8800048828125,1104800
2016-03-23,765.3900146484375,756.030029296875,1233900
2016-03-24,757.5599975585938,750.5,1555800
2016-03-28,758.2999877929688,752.0399780273438,1083800
2016-03-29,767.1799926757812,748.2899780273438,2003100
2016-03-30,777.3099975585938,767.5800170898438,2019800
2016-03-31,769.0800170898438,758.25,1627700
2016-04-01,770.0399780273438,755.2000122070312,1583700
2016-04-04,772.4400024414062,761.7899780273438,1346200
2016-04-05,762.8699951171875,755.5999755859375,1223900
2016-04-06,768.4199829101562,756.2999877929688,1265600
2016-04-07,769.3599853515625,757.5,1274900
2016-04-08,767.1300048828125,755.77001953125,1171700
2016-04-11,767.219970703125,757.3400268554688,1588700
2016-04-12,764.9199829101562,751.5700073242188,1369400
2016-04-13,775.75,764.5900268554688,1771300
2016-04-14,779.6099853515625,773.219970703125,1349600
2016-04-15,780.9299926757812,774.9299926757812,1585600
2016-04-18,788.5499877929688,777.6099853515625,1677000
2016-04-19,790.9500122070312,770.27001953125,2197600
2016-04-20,779.6599731445312,771.27001953125,1713100
2016-04-21,781.6799926757812,771.5499877929688,3881400
2016-04-22,753.9199829101562,730.3699951171875,7039900
2016-04-25,744.8800048828125,735.0999755859375,2472100
2016-04-26,745.5900268554688,720.3200073242188,2793200
2016-04-27,727.1500244140625,709.0800170898438,3313100
2016-04-28,729.260009765625,703.2000122070312,3129500
2016-04-29,712.1099853515625,703.780029296875,2913900
2016-05-02,715.4099731445312,706.3599853515625,1673800
2016-05-03,713.3699951171875,707.3300170898438,1931000
2016-05-04,715.0499877929688,704.0499877929688,1708600
2016-05-05,717.5499877929688,709.4500122070312,1483400
2016-05-06,725.989990234375,711.9500122070312,1997600
2016-05-09,734.2899780273438,723.5,1903700
2016-05-10,740.0,731.6099853515625,1631700
2016-05-11,740.7999877929688,727.9000244140625,1491700
2016-05-12,735.3699951171875,724.27001953125,1354700
2016-05-13,731.2899780273438,723.510009765625,1262200
2016-05-16,732.6799926757812,720.0,1126900
