Date,Bitcoin Close Price,Dow Jones Close Price
2018-05-31,7541.45,
2018-06-01,7643.45,24635.21
2018-06-02,7720.25,
2018-06-03,7514.47,
2018-06-04,7633.76,24813.69
2018-06-05,7653.98,24799.98
2018-06-06,7678.24,25146.39
2018-06-07,7624.92,25241.41
2018-06-08,7531.98,25316.53
2018-06-09,6786.02,
2018-06-10,6906.92,
2018-06-11,6582.36,25322.31
2018-06-12,6349.9,25320.73
2018-06-13,6675.35,25201.2
2018-06-14,6456.58,25175.31
2018-06-15,6550.16,25090.48
2018-06-16,6499.27,
2018-06-17,6734.82,
2018-06-18,6769.94,24987.47
2018-06-19,6776.55,24700.21
2018-06-20,6729.74,24657.8
2018-06-21,6083.69,24461.7
2018-06-22,6162.48,24580.89
2018-06-23,6173.23,
2018-06-24,6249.18,
2018-06-25,6093.67,24252.8
2018-06-26,6157.13,24283.11
2018-06-27,5903.44,24117.59
2018-06-28,6218.3,24216.05
2018-06-29,6404.0,24271.41
2018-06-30,6385.82,
2018-07-01,6614.18,
2018-07-02,6529.59,24307.18
2018-07-03,6597.55,24174.82
2018-07-04,6639.14,
2018-07-05,6673.5,24356.74
2018-07-06,6856.93,24456.48
2018-07-07,6773.88,
2018-07-08,6741.75,
2018-07-09,6329.95,24776.59
2018-07-10,6394.71,24919.66
2018-07-11,6228.81,24700.45
2018-07-12,6238.05,24924.89
2018-07-13,6276.12,25019.41
2018-07-14,6359.64,
2018-07-15,6741.75,
2018-07-16,7321.04,25064.36
2018-07-17,7370.78,25119.89
2018-07-18,7466.86,25199.29
2018-07-19,7354.13,25064.5
2018-07-20,7419.29,25058.12
2018-07-21,7418.49,
2018-07-22,7711.11,
2018-07-23,8424.27,25044.29
2018-07-24,8181.39,25241.94
2018-07-25,7951.58,25414.1
2018-07-26,8165.01,25527.07
2018-07-27,8192.15,25451.06
2018-07-28,8218.46,
2018-07-29,8180.48,
2018-07-30,7780.44,25306.83
2018-07-31,7624.91,25415.19
2018-08-01,7567.15,25333.82
2018-08-02,7434.39,25326.16
2018-08-03,7032.85,25462.58
2018-08-04,7068.48,
2018-08-05,6951.8,
2018-08-06,6753.12,25502.18
2018-08-07,6305.8,25628.91
2018-08-08,6568.23,25583.75
2018-08-09,6184.71,25509.23
2018-08-10,6295.73,25313.14
2018-08-11,6322.69,
2018-08-12,6297.57,
2018-08-13,6199.71,25187.7
2018-08-14,6308.52,25299.92
2018-08-15,6334.73,25162.41
2018-08-16,6580.63,25558.73
2018-08-17,6423.76,25669.32
2018-08-18,6506.07,
2018-08-19,6308.53,
2018-08-20,6488.76,25758.69
2018-08-21,6376.71,25822.29
2018-08-22,6534.88,25733.6
2018-08-23,6719.96,25656.98
2018-08-24,6763.19,25790.35
2018-08-25,6707.26,
2018-08-26,6884.64,
2018-08-27,7096.28,26049.64
2018-08-28,7047.16,26064.02
2018-08-29,6978.23,26124.57
2018-08-30,7037.58,25986.92
2018-08-31,7193.25,25964.82
2018-09-01,7272.72,
2018-09-02,7260.06,
2018-09-03,7361.66,
2018-09-04,6792.83,25952.48
2018-09-05,6529.17,25974.99
2018-09-06,6467.07,25995.87
2018-09-07,6225.98,25916.54
2018-09-08,6300.86,
2018-09-09,6329.7,
2018-09-10,6321.2,25857.07
2018-09-11,6351.8,25971.06
2018-09-12,6517.31,25998.92
2018-09-13,6512.71,26145.99
2018-09-14,6543.2,26154.67
2018-09-15,6517.18,
2018-09-16,6281.2,
2018-09-17,6371.3,26062.12
2018-09-18,6398.54,26246.96
2018-09-19,6519.67,26405.76
2018-09-20,6734.95,26656.98
2018-09-21,6721.98,26743.5
2018-09-22,6710.63,
2018-09-23,6595.41,
2018-09-24,6446.47,26562.05
2018-09-25,6495.0,26492.21
2018-09-26,6676.75,26385.28
2018-09-27,6644.13,26439.93
2018-09-28,6601.96,26458.31
2018-09-29,6625.56,
2018-09-30,6589.62,
2018-10-01,6556.1,26651.21
2018-10-02,6502.59,26773.94
2018-10-03,6576.69,26828.39
2018-10-04,6622.48,26627.48
2018-10-05,6588.31,26447.05
2018-10-06,6602.95,
2018-10-07,6652.23,
2018-10-08,6642.64,26486.78
2018-10-09,6585.53,26430.57
2018-10-10,6256.24,25598.74
2018-10-11,6274.58,25052.83
2018-10-12,6285.99,25339.99
2018-10-13,6290.93,
