Date,Dow Jones Close Price,NASDAQ Close Price
2018-06-01,24635.21,7554.33
2018-06-04,24813.69,7606.46
2018-06-05,24799.98,7637.86
2018-06-06,25146.39,7689.24
2018-06-07,25241.41,7635.07
2018-06-08,25316.53,7645.51
2018-06-11,25322.31,7659.93
2018-06-12,25320.73,7703.79
2018-06-13,25201.2,7695.7
2018-06-14,25175.31,7761.04
2018-06-15,25090.48,7746.38
2018-06-18,24987.47,7747.03
2018-06-19,24700.21,7725.59
2018-06-20,24657.8,7781.51
2018-06-21,24461.7,7712.95
2018-06-22,24580.89,7692.82
2018-06-25,24252.8,7532.01
2018-06-26,24283.11,7561.63
2018-06-27,24117.59,7445.08
2018-06-28,24216.05,7503.68
2018-06-29,24271.41,7510.3
2018-07-02,24307.18,7567.69
2018-07-03,24174.82,7502.67
2018-07-05,24356.74,7586.43
2018-07-06,24456.48,7688.39
2018-07-09,24776.59,7756.2
2018-07-10,24919.66,7759.2
2018-07-11,24700.45,7716.61
2018-07-12,24924.89,7823.92
2018-07-13,25019.41,7825.98
2018-07-16,25064.36,7805.72
2018-07-17,25119.89,7855.12
2018-07-18,25199.29,7854.44
2018-07-19,25064.5,7825.3
2018-07-20,25058.12,7820.2
2018-07-23,25044.29,7841.87
2018-07-24,25241.94,7840.77
2018-07-25,25414.1,7932.24
2018-07-26,25527.07,7852.18
2018-07-27,25451.06,7737.42
2018-07-30,25306.83,7630.0
2018-07-31,25415.19,7671.79
2018-08-01,25333.82,7707.29
2018-08-02,25326.16,7802.69
2018-08-03,25462.58,7812.01
2018-08-06,25502.18,7859.68
2018-08-07,25628.91,7883.66
2018-08-08,25583.75,7888.33
2018-08-09,25509.23,7891.78
2018-08-10,25313.14,7839.11
2018-08-13,25187.7,7819.71
2018-08-14,25299.92,7870.89
2018-08-15,25162.41,7774.12
2018-08-16,25558.73,7806.52
2018-08-17,25669.32,7816.33
2018-08-20,25758.69,7821.01
2018-08-21,25822.29,7859.17
2018-08-22,25733.6,7889.1
2018-08-23,25656.98,7878.46
2018-08-24,25790.35,7945.98
2018-08-27,26049.64,8017.9
2018-08-28,26064.02,8030.04
2018-08-29,26124.57,8109.69
2018-08-30,25986.92,8088.36
2018-08-31,25964.82,8109.54
2018-09-04,25952.48,8091.25
2018-09-05,25974.99,7995.17
2018-09-06,25995.87,7922.73
2018-09-07,25916.54,7902.54
2018-09-10,25857.07,7924.16
2018-09-11,25971.06,7972.47
2018-09-12,25998.92,7954.23
2018-09-13,26145.99,8013.71
2018-09-14,26154.67,8010.04
2018-09-17,26062.12,7895.79
2018-09-18,26246.96,7956.11
