Date,Dow Jones High,NASDAQ High
2018-06-01,24673.6,7557.38
2018-06-04,24859.37,7607.17
2018-06-05,24838.78,7644.48
2018-06-06,25146.46,7691.65
2018-06-07,25326.09,7697.41
2018-06-08,25325.63,7653.58
2018-06-11,25402.83,7677.29
2018-06-12,25364.37,7708.25
2018-06-13,25362.07,7748.96
2018-06-14,25332.5,7768.6
2018-06-15,25130.82,7755.72
2018-06-18,25003.1,7749.36
2018-06-19,24763.59,7727.41
2018-06-20,24804.76,7806.6
2018-06-21,24639.21,7803.45
2018-06-22,24663.18,7739.71
2018-06-25,24463.73,7639.73
2018-06-26,24384.21,7597.49
2018-06-27,24569.02,7610.67
2018-06-28,24308.16,7526.07
2018-06-29,24509.52,7573.59
2018-07-02,24319.42,7568.1
2018-07-03,24444.88,7594.33
2018-07-05,24372.8,7589.19
2018-07-06,24520.29,7695.81
2018-07-09,24796.52,7757.28
2018-07-10,24945.38,7777.48
2018-07-11,24815.16,7748.16
2018-07-12,24939.97,7825.67
2018-07-13,25043.21,7843.52
2018-07-16,25072.41,7838.82
2018-07-17,25155.39,7867.15
2018-07-18,25215.32,7863.77
2018-07-19,25154.17,7849.85
2018-07-20,25124.1,7860.25
2018-07-23,25081.45,7846.76
2018-07-24,25286.62,7928.79
2018-07-25,25432.87,7933.31
2018-07-26,25587.24,7881.3
2018-07-27,25580.22,7889.75
2018-07-30,25500.16,7740.26
2018-07-31,25490.98,7709.49
2018-08-01,25488.8,7732.68
2018-08-02,25360.48,7808.85
2018-08-03,25467.9,7824.06
2018-08-06,25540.02,7859.68
2018-08-07,25692.72,7898.2
2018-08-08,25634.11,7901.69
2018-08-09,25613.31,7923.35
2018-08-10,25401.19,7866.19
2018-08-13,25381.39,7888.66
2018-08-14,25339.51,7878.23
2018-08-15,25235.37,7832.66
2018-08-16,25607.34,7849.67
2018-08-17,25728.16,7830.78
2018-08-20,25790.17,7837.14
2018-08-21,25888.82,7897.68
2018-08-22,25836.16,7897.63
2018-08-23,25762.56,7926.32
2018-08-24,25826.05,7949.71
2018-08-27,26067.57,8024.94
2018-08-28,26122.24,8046.31
2018-08-29,26167.94,8113.56
2018-08-30,26104.37,8133.3
2018-08-31,26028.83,8119.82
2018-09-04,25971.77,8104.07
2018-09-05,26011.22,8077.84
2018-09-06,26073.68,8001.97
2018-09-07,26002.99,7962.53
2018-09-10,26039.96,7945.03
2018-09-11,26019.92,7986.32
2018-09-12,26145.72,7965.39
2018-09-13,26191.64,8037.51
2018-09-14,26211.11,8040.83
2018-09-17,26184.47,8002.78
2018-09-18,26317.34,7986.1
2018-09-19,26464.41,7976.12
2018-09-20,26697.49,8039.06
2018-09-21,26769.16,8057.26
2018-09-24,26709.94,7997.9
2018-09-25,26634.85,8014.12
2018-09-26,26606.09,8067.03
2018-09-27,26557.01,8071.56
2018-09-28,26515.76,8065.06
2018-10-01,26737.98,8107.38
2018-10-02,26824.78,8054.15
2018-10-03,26951.81,8053.93
2018-10-04,26793.82,7997.17
2018-10-05,26676.16,7902.67
2018-10-08,26529.35,7797.32
2018-10-09,26539.94,7799.75
2018-10-10,26487.87,7701.2
2018-10-11,25683.64,7493.21
2018-10-12,25467.55,7516.69
2018-10-15,25482.42,7500.93
2018-10-16,25817.68,7658.14
2018-10-17,25810.09,7670.49
2018-10-18,25691.46,7616.86
2018-10-19,25608.71,7582.89
2018-10-22,25561.34,7520.54
2018-10-23,25307.7,7472.58
2018-10-24,25306.23,7435.69
2018-10-25,25104.29,7364.82
2018-10-26,24916.16,7283.32
2018-10-29,25040.58,7295.61
2018-10-30,24906.68,7166.84
2018-10-31,25336.55,7368.49
2018-11-01,25396.47,7435.88
2018-11-02,25578.98,7466.53
2018-11-05,25507.35,7349.23
2018-11-06,25651.86,7400.64
2018-11-07,26200.14,7572.93
2018-11-08,26277.82,7566.93
2018-11-09,26161.49,7474.34
2018-11-12,25966.71,7371.09
2018-11-13,25511.03,7319.12
2018-11-14,25501.29,7285.57
2018-11-15,25354.56,7274.26
2018-11-16,25510.23,7274.86
2018-11-19,25392.61,7224.12
2018-11-20,24707.26,6994.75
2018-11-21,24669.79,7029.93
2018-11-23,24408.8,6987.89
2018-11-26,24673.29,7083.93
2018-11-27,24750.73,7105.14
2018-11-28,25368.93,7292.71
2018-11-29,25479.04,7319.96
2018-11-30,25549.71,7332.79
2018-12-03,25980.21,7486.51
2018-12-04,25773.12,7421.11
2018-12-06,24951.01,7189.52
2018-12-07,25095.62,7205.37
2018-12-10,24500.81,7047.62
2018-12-11,24791.26,7129.83
2018-12-12,24828.29,7197.29
2018-12-13,24740.96,7154.64
2018-12-14,24431.14,7027.17
2018-12-17,24088.08,6931.81
2018-12-18,23927.77,6847.27
2018-12-19,24057.34,6868.86
2018-12-20,23282.2,6666.2
2018-12-21,23254.59,6586.68
2018-12-24,22339.87,6355.18
2018-12-26,22878.92,6555.53
2018-12-27,23138.89,6583.01
2018-12-28,23381.88,6684.18
2018-12-31,23333.18,6659.96
2019-01-02,23413.47,6693.71
2019-01-03,23176.39,6600.21
2019-01-04,23518.64,6760.69
2019-01-07,23687.74,6855.6
2019-01-08,23864.65,6909.58
2019-01-09,24084.71,6985.22
2019-01-10,24014.78,6991.37
2019-01-11,23996.32,6975.65
2019-01-14,23964.9,6936.22
2019-01-15,24099.14,7025.85
2019-01-16,24288.61,7079.63
2019-01-17,24474.46,7113.95
2019-01-18,24750.22,7185.38
2019-01-22,24607.76,7110.16
2019-01-23,24700.98,7084.85
2019-01-24,24626.3,7078.96
2019-01-25,24860.15,7174.56
2019-01-28,24596.98,7086.3
2019-01-29,24674.87,7092.29
2019-01-30,25109.62,7201.31
2019-01-31,25049.62,7303.12
2019-02-01,25193.15,7299.94
2019-02-04,25239.91,7348.23
2019-02-05,25427.32,7408.68
2019-02-06,25439.04,7410.77
2019-02-07,25314.26,7336.74
2019-02-08,25106.39,7299.44
2019-02-11,25196.75,7343.56
2019-02-12,25458.98,7419.43
2019-02-13,25625.95,7461.66
2019-02-14,25558.9,7454.42
2019-02-15,25883.72,7477.28
2019-02-19,25961.44,7507.79
2019-02-20,25986.2,7513.7
2019-02-21,25938.88,7485.75
2019-02-22,26052.9,7527.54
2019-02-25,26241.42,7602.69
2019-02-26,26155.29,7573.22
2019-02-27,26039.68,7562.29
2019-02-28,26029.21,7561.9
2019-03-01,26143.92,7603.04
2019-03-04,26155.98,7643.66
2019-03-05,25877.15,7598.66
2019-03-06,25837.61,7579.02
2019-03-07,25645.45,7489.08
2019-03-08,25466.14,7411.52
2019-03-11,25661.63,7558.23
2019-03-12,25675.44,7611.13
2019-03-13,25776.49,7677.07
2019-03-14,25752.84,7653.1
2019-03-15,25927.91,7714.96
2019-03-18,25924.77,7737.67
2019-03-19,26109.68,7767.89
2019-03-20,25929.52,7779.24
2019-03-21,26009.9,7850.11
2019-03-22,25877.01,7817.83
2019-03-25,25603.27,7662.38
2019-03-26,25796.29,7738.17
2019-03-27,25758.17,7712.84
2019-03-28,25743.41,7689.16
2019-03-29,25949.32,7733.62
2019-04-01,26280.9,7831.45
2019-04-02,26221.24,7854.92
2019-04-03,26282.17,7938.26
2019-04-04,26398.9,7917.65
2019-04-05,26487.57,7940.45
2019-04-08,26344.65,7955.9
2019-04-09,26246.34,7945.55
2019-04-10,26209.49,7965.33
2019-04-11,26229.88,7975.2
2019-04-12,26436.68,7992.09
2019-04-15,26424.85,7993.33
2019-04-16,26530.71,8017.56
2019-04-17,26501.02,8052.4
2019-04-18,26602.42,8002.31
2019-04-22,26553.05,8017.15
2019-04-23,26695.96,8128.87
2019-04-24,26680.58,8139.55
2019-04-25,26536.48,8151.84
2019-04-26,26543.56,8146.42
2019-04-29,26602.54,8176.08
2019-04-30,26614.04,8124.61
2019-05-01,26689.39,8146.0
2019-05-02,26454.69,8094.06
2019-05-03,26534.96,8164.71
2019-05-06,26476.27,8135.54
2019-05-07,26276.9,8070.97
2019-05-08,26118.1,8004.49
2019-05-09,25884.89,7929.78
2019-05-10,26019.32,7949.34
2019-05-13,25568.06,7760.83
2019-05-14,25688.96,7776.2
2019-05-15,25724.89,7838.72
2019-05-16,25957.63,7946.23
2019-05-17,25948.74,7918.71
2019-05-20,25751.71,7747.27
2019-05-21,25898.27,7804.44
2019-05-22,25878.21,7786.33
2019-05-23,25657.99,7665.15
2019-05-24,25670.81,7694.15
2019-05-28,25717.63,7693.74
2019-05-29,25231.46,7581.11
2019-05-30,25218.54,7595.9
2019-05-31,25046.31,7506.86
2019-06-03,24935.21,7457.66
2019-06-04,25343.77,7529.5
2019-06-05,25544.66,7589.47
2019-06-06,25800.3,7634.12
2019-06-07,26072.75,7767.02
2019-06-10,26210.61,7895.44
2019-06-11,26248.67,7909.99
2019-06-12,26082.1,7819.16
2019-06-13,26146.91,7848.36
2019-06-14,26162.28,7819.21
2019-06-17,26165.78,7865.98
2019-06-18,26527.19,8005.21
2019-06-19,26569.75,7998.59
2019-06-20,26798.63,8088.88
2019-06-21,26907.37,8073.02
2019-06-24,26806.52,8047.56
2019-06-25,26752.31,8007.31
2019-06-26,26660.04,7974.28
2019-06-27,26607.24,7976.58
2019-06-28,26638.35,8010.15
2019-07-01,26890.64,8150.45
2019-07-02,26787.56,8109.37
2019-07-03,26966.0,8170.23
2019-07-05,26950.81,8171.97
2019-07-08,26839.14,8161.79
2019-07-09,26807.7,8146.98
2019-07-10,26983.45,8228.6
2019-07-11,27088.45,8226.18
2019-07-12,27333.79,8245.66
2019-07-15,27364.69,8264.78
2019-07-16,27398.68,8259.75
2019-07-17,27343.06,8230.67
2019-07-18,27266.81,8215.58
2019-07-19,27342.96,8245.78
2019-07-22,27227.77,8218.42
2019-07-23,27368.81,8251.83
2019-07-24,27291.04,8321.81
2019-07-25,27298.43,8295.95
2019-07-26,27213.7,8339.64
2019-07-29,27275.85,8325.28
2019-07-30,27224.36,8295.46
2019-07-31,27281.65,8299.83
2019-08-01,27175.59,8311.04
2019-08-02,26570.02,8068.8
2019-08-05,26259.23,7836.45
2019-08-06,26038.68,7845.01
2019-08-07,26073.21,7881.38
2019-08-08,26383.61,8041.12
2019-08-09,26413.36,8020.56
2019-08-12,26178.95,7924.99
2019-08-13,26426.97,8065.24
2019-08-14,26035.08,7900.28
2019-08-15,25639.69,7805.93
2019-08-16,25929.65,7907.52
2019-08-19,26222.32,8026.75
2019-08-20,26160.12,8010.58
2019-08-21,26268.32,8036.94
2019-08-22,26388.78,8048.58
2019-08-23,26320.29,8005.34
2019-08-26,25941.25,7856.04
2019-08-27,26054.02,7916.83
2019-08-28,26041.57,7866.87
2019-08-29,26408.84,7992.29
2019-08-30,26514.62,8017.91
2019-09-03,26198.26,7940.37
2019-09-04,26362.35,7981.41
2019-09-05,26836.3,8134.42
2019-09-06,26860.87,8134.39
2019-09-09,26900.83,8131.66
2019-09-10,26909.43,8086.53
2019-09-11,27137.04,8169.68
2019-09-12,27306.73,8243.8
2019-09-13,27277.55,8210.2
2019-09-16,27172.87,8165.33
2019-09-17,27110.8,8188.23
2019-09-18,27161.93,8179.87
2019-09-19,27272.17,8237.43
2019-09-20,27194.75,8202.82
2019-09-23,27011.07,8135.81
2019-09-24,27079.68,8158.83
2019-09-25,27016.56,8095.0
2019-09-26,27015.07,8072.11
2019-09-27,27012.54,8051.83
2019-09-30,26998.86,8012.16
2019-10-01,27046.21,8062.5
2019-10-02,26438.04,7852.7
2019-10-03,26205.2,7872.26
2019-10-04,26590.74,7986.62
2019-10-07,26655.84,8013.31
2019-10-08,26421.81,7921.88
2019-10-09,26424.31,7930.92
2019-10-10,26603.31,7982.84
2019-10-11,27013.97,8115.8
2019-10-14,26874.33,8069.85
2019-10-15,27120.11,8166.18
2019-10-16,27058.34,8146.15
2019-10-17,27112.16,8183.64
2019-10-18,27018.25,8157.36
2019-10-21,26852.67,8164.14
2019-10-22,26946.64,8194.62
2019-10-23,26896.89,8122.88
2019-10-24,26931.78,8187.84
2019-10-25,27015.37,8249.97
2019-10-28,27167.88,8335.56
2019-10-29,27165.94,8319.29
2019-10-30,27204.36,8315.5
2019-10-31,27188.37,8321.8
2019-11-01,27347.43,8386.75
2019-11-04,27517.58,8451.37
2019-11-05,27560.36,8457.39
2019-11-06,27526.05,8426.57
2019-11-07,27774.67,8483.16
2019-11-08,27694.95,8475.57
2019-11-11,27714.39,8467.29
2019-11-12,27770.86,8514.84
2019-11-13,27806.4,8496.9
2019-11-14,27800.71,8485.36
2019-11-15,28004.89,8540.83
2019-11-18,28040.97,8559.78
2019-11-19,28090.21,8589.76
2019-11-20,27897.28,8578.27
2019-11-21,27828.33,8530.73
2019-11-22,27898.46,8535.46
2019-11-25,28068.69,8633.15
2019-11-26,28146.02,8659.73
2019-11-27,28174.97,8705.91
2019-11-29,28119.51,8697.32
2019-12-02,28109.84,8672.84
2019-12-03,27524.74,8523.98
2019-12-04,27727.45,8584.88
2019-12-05,27745.2,8588.89
2019-12-06,28035.85,8665.44
2019-12-09,28010.42,8678.85
2019-12-10,27949.02,8650.76
2019-12-11,27925.5,8658.48
2019-12-12,28224.95,8745.82
2019-12-13,28290.73,8768.87
2019-12-16,28337.49,8833.45
2019-12-17,28328.63,8831.99
2019-12-18,28323.25,8848.76
2019-12-19,28381.48,8888.13
2019-12-20,28608.64,8931.91
2019-12-23,28582.49,8956.64
2019-12-24,28576.8,8957.12
2019-12-26,28624.1,9022.46
2019-12-27,28701.66,9052.0
2019-12-30,28664.69,9006.36
2019-12-31,28547.35,8975.36
2020-01-02,28872.8,9093.43
2020-01-03,28716.31,9065.76
2020-01-06,28708.02,9072.41
2020-01-07,28685.5,9091.93
2020-01-08,28866.18,9168.89
2020-01-09,28988.01,9215.95
2020-01-10,29009.07,9235.2
2020-01-13,28909.91,9274.49
2020-01-14,29054.16,9298.33
2020-01-15,29127.59,9298.82
2020-01-16,29300.32,9357.92
2020-01-17,29373.62,9393.48
2020-01-21,29341.21,9397.58
2020-01-22,29320.2,9439.29
2020-01-23,29190.47,9409.2
2020-01-24,29288.79,9451.43
2020-01-27,28671.79,9185.45
2020-01-28,28823.23,9288.87
2020-01-29,28944.24,9329.12
2020-01-30,28879.71,9303.0
2020-01-31,28813.04,9324.8
2020-02-03,28630.39,9299.85
2020-02-04,28904.88,9485.38
2020-02-05,29308.89,9574.94
2020-02-06,29408.05,9575.66
2020-02-07,29286.92,9570.09
2020-02-10,29278.07,9628.66
2020-02-11,29415.39,9714.74
2020-02-12,29568.57,9728.77
2020-02-13,29535.4,9748.32
2020-02-14,29463.04,9746.36
2020-02-18,29330.16,9747.68
2020-02-19,29409.09,9838.37
2020-02-20,29368.45,9820.86
2020-02-21,29146.53,9715.95
2020-02-24,28402.93,9322.88
2020-02-25,28149.2,9315.26
2020-02-26,27542.78,9148.32
2020-02-27,26775.31,8904.11
2020-02-28,25494.24,8591.82
2020-03-02,26706.17,8952.81
2020-03-03,27084.59,9070.32
2020-03-04,27102.34,9019.96
2020-03-05,26671.92,8921.08
2020-03-06,25994.38,8612.36
2020-03-09,24992.36,8243.31
2020-03-10,25020.99,8347.4
2020-03-11,24604.63,8181.36
2020-03-12,22837.95,7712.33
2020-03-13,23189.76,7875.93
2020-03-16,21768.28,7422.2
2020-03-17,21379.35,7406.23
2020-03-18,20489.33,7182.83
2020-03-19,20442.63,7341.38
2020-03-20,20531.26,7354.44
2020-03-23,19121.01,6984.94
2020-03-24,20737.7,7418.37
2020-03-25,22019.93,7671.21
2020-03-26,22595.06,7809.83
2020-03-27,22327.57,7716.24
2020-03-30,22378.09,7784.35
2020-03-31,22480.37,7880.31
2020-04-01,21487.24,7566.37
2020-04-02,21477.77,7501.7
2020-04-03,21447.81,7518.72
2020-04-06,22783.45,7938.33
2020-04-07,23617.24,8146.43
2020-04-08,23513.4,8114.43
2020-04-09,24008.99,8227.91
2020-04-13,23698.93,8200.44
2020-04-14,24040.58,8531.11
2020-04-15,23649.72,8464.66
2020-04-16,23598.08,8560.16
2020-04-17,24264.21,8670.3
2020-04-20,24108.69,8684.91
2020-04-21,23365.25,8480.29
2020-04-22,23613.1,8537.31
2020-04-23,23885.36,8635.23
2020-04-24,23826.0,8642.93
2020-04-27,24207.65,8754.57
2020-04-28,24512.24,8830.57
2020-04-29,24764.77,8957.27
2020-04-30,24585.57,8926.11
2020-05-01,24120.78,8754.46
2020-05-04,23769.56,8715.82
2020-05-05,24169.72,8909.96
2020-05-06,24054.59,8933.25
2020-05-07,24094.62,9015.99
2020-05-08,24349.9,9125.98
2020-05-11,24366.21,9241.92
2020-05-12,24382.09,9250.96
2020-05-13,23708.9,9074.16
2020-05-14,23630.86,8945.71
2020-05-15,23730.08,9018.4
2020-05-18,24708.54,9267.22
2020-05-19,24599.5,9317.25
2020-05-20,24649.48,9392.82
2020-05-21,24718.46,9405.25
2020-05-22,24481.64,9328.28
2020-05-26,25176.42,9501.21
2020-05-27,25551.56,9414.62
2020-05-28,25758.79,9523.64
2020-05-29,25482.8,9505.55
2020-06-01,25508.83,9571.28
2020-06-02,25743.13,9611.22
2020-06-03,26337.75,9707.78
2020-06-04,26384.1,9716.14
2020-06-05,27338.3,9845.69
2020-06-08,27580.21,9927.13
2020-06-09,27447.37,10002.5
2020-06-10,27355.22,10086.89
2020-06-11,26294.08,9868.08
2020-06-12,25965.55,9768.64
2020-06-15,25891.58,9756.07
2020-06-16,26611.03,9963.63
2020-06-17,26400.07,9991.21
2020-06-18,26154.2,9959.2
2020-06-19,26451.44,10053.91
2020-06-22,26059.81,10059.61
2020-06-23,26314.97,10221.85
2020-06-24,25992.96,10137.5
2020-06-25,25769.61,10023.28
2020-06-26,25641.69,10000.67
2020-06-29,25601.15,9877.34
2020-06-30,25905.38,10085.59
