Date,Dow Jones Low,NASDAQ Low
2018-06-01,24542.09,7487.23
2018-06-04,24722.14,7561.2
2018-06-05,24710.82,7602.38
2018-06-06,24854.14,7622.31
2018-06-07,25164.48,7597.66
2018-06-08,25165.7,7595.14
2018-06-11,25290.2,7642.87
2018-06-12,25247.04,7669.53
2018-06-13,25191.42,7686.65
2018-06-14,25138.6,7723.53
2018-06-15,24894.38,7704.34
2018-06-18,24825.77,7676.83
2018-06-19,24567.75,7635.73
2018-06-20,24628.39,7755.48
2018-06-21,24406.63,7699.2
2018-06-22,24526.97,7679.12
2018-06-25,24084.39,7477.73
2018-06-26,24241.22,7527.0
2018-06-27,24115.82,7444.17
2018-06-28,23997.21,7419.56
2018-06-29,24269.71,7502.95
2018-07-02,24077.56,7443.1
2018-07-03,24150.85,7498.5
2018-07-05,24177.44,7511.43
2018-07-06,24281.47,7588.65
2018-07-09,24518.43,7702.06
2018-07-10,24806.97,7731.98
2018-07-11,24663.82,7696.58
2018-07-12,24802.9,7746.76
2018-07-13,24890.06,7803.34
2018-07-16,24979.64,7791.98
2018-07-17,24989.61,7749.61
2018-07-18,25101.12,7822.83
2018-07-19,25052.62,7811.15
2018-07-20,24986.35,7815.86
2018-07-23,24983.33,7776.55
2018-07-24,25092.43,7814.33
2018-07-25,25113.55,7838.76
2018-07-26,25463.16,7834.08
2018-07-27,25370.07,7698.96
2018-07-30,25287.38,7604.24
2018-07-31,25345.21,7614.84
2018-08-01,25278.32,7670.71
2018-08-02,25120.07,7659.52
2018-08-03,25325.17,7783.3
2018-08-06,25381.38,7801.88
2018-08-07,25551.65,7868.65
2018-08-08,25557.48,7864.46
2018-08-09,25492.69,7881.06
2018-08-10,25222.88,7818.37
2018-08-13,25153.93,7814.27
2018-08-14,25201.87,7815.5
2018-08-15,24965.77,7732.69
2018-08-16,25294.97,7795.74
2018-08-17,25521.66,7752.68
2018-08-20,25716.41,7787.9
2018-08-21,25784.9,7836.79
2018-08-22,25722.43,7840.84
2018-08-23,25608.02,7866.53
2018-08-24,25688.58,7907.1
2018-08-27,25882.71,7976.6
2018-08-28,26037.85,8009.59
2018-08-29,26035.3,8042.1
2018-08-30,25934.8,8069.57
2018-08-31,25879.77,8079.31
2018-09-04,25805.95,8042.14
2018-09-05,25871.04,7962.35
2018-09-06,25880.84,7885.49
2018-09-07,25818.39,7873.93
2018-09-10,25854.13,7890.39
2018-09-11,25754.32,7880.92
2018-09-12,25929.43,7884.05
2018-09-13,26067.08,7989.85
2018-09-14,26068.29,7979.78
2018-09-17,26030.35,7890.07
2018-09-18,26076.21,7901.01
2018-09-19,26280.76,7917.73
2018-09-20,26519.39,7986.41
2018-09-21,26680.37,7979.67
2018-09-24,26548.68,7912.47
2018-09-25,26475.58,7979.29
2018-09-26,26349.34,7982.76
2018-09-27,26379.95,8017.91
2018-09-28,26383.57,8015.87
2018-10-01,26596.05,8019.77
2018-10-02,26627.66,7983.99
2018-10-03,26789.08,8012.03
2018-10-04,26471.61,7833.16
2018-10-05,26301.81,7715.97
2018-10-08,26223.09,7654.84
2018-10-09,26324.16,7718.95
2018-10-10,25567.1,7420.56
2018-10-11,24899.77,7274.04
2018-10-12,25000.83,7368.33
2018-10-15,25243.88,7400.07
2018-10-16,25351.53,7493.44
2018-10-17,25479.16,7563.09
2018-10-18,25236.01,7452.46
2018-10-19,25350.02,7428.3
2018-10-22,25236.05,7424.74
2018-10-23,24768.79,7260.13
2018-10-24,24533.19,7099.0
2018-10-25,24645.56,7178.54
2018-10-26,24445.19,7057.0
2018-10-29,24122.23,6922.83
2018-10-30,24415.69,7001.48
2018-10-31,25008.82,7270.63
2018-11-01,25108.11,7286.5
2018-11-02,25078.72,7298.68
2018-11-05,25261.47,7255.88
2018-11-06,25444.9,7320.89
2018-11-07,25765.88,7435.87
2018-11-08,26081.9,7499.71
2018-11-09,25882.91,7349.48
2018-11-12,25340.51,7193.77
2018-11-13,25193.78,7182.86
2018-11-14,24935.82,7101.17
2018-11-15,24787.79,7072.36
2018-11-16,25147.8,7171.7
2018-11-19,24900.98,7011.4
2018-11-20,24368.98,6830.76
2018-11-21,24463.28,6951.62
2018-11-23,24268.74,6919.16
2018-11-26,24364.13,7003.12
2018-11-27,24416.03,7014.36
2018-11-28,24832.84,7090.98
2018-11-29,25202.79,7217.69
2018-11-30,25250.97,7255.68
2018-12-03,25670.51,7392.22
2018-12-04,25008.11,7150.11
2018-12-06,24242.22,6984.34
2018-12-07,24284.78,6945.27
2018-12-10,23881.37,6878.99
2018-12-11,24221.06,6983.01
2018-12-12,24509.09,7096.56
2018-12-13,24473.29,7034.82
2018-12-14,24033.79,6898.99
2018-12-17,23456.88,6710.01
2018-12-18,23516.02,6733.71
2018-12-19,23162.64,6586.5
2018-12-20,22644.31,6447.91
2018-12-21,22396.34,6304.63
2018-12-24,21792.2,6190.17
2018-12-26,21712.53,6214.34
2018-12-27,22267.42,6336.97
2018-12-28,22981.33,6529.22
2018-12-31,23118.3,6570.06
2019-01-02,22928.59,6506.88
2019-01-03,22638.41,6457.13
2019-01-04,22894.92,6554.24
2019-01-07,23301.59,6741.4
2019-01-08,23581.45,6795.86
2019-01-09,23703.16,6899.56
2019-01-10,23703.25,6877.08
2019-01-11,23798.16,6933.6
2019-01-14,23765.24,6887.48
2019-01-15,23887.93,6928.12
2019-01-16,24119.72,7028.12
2019-01-17,24088.9,7003.62
2019-01-18,24459.03,7096.62
2019-01-22,24244.31,6979.81
2019-01-23,24307.17,6953.23
2019-01-24,24422.73,7029.95
2019-01-25,24676.75,7111.09
2019-01-28,24323.94,7034.25
