Date,Dow Jones Volume,NASDAQ Volume
2018-06-01,315710000,2208600000
2018-06-04,340400000,2142790000
2018-06-05,306340000,2058630000
2018-06-06,316090000,2191750000
2018-06-07,357680000,2328280000
2018-06-08,317510000,1941580000
2018-06-11,276740000,1942940000
2018-06-12,265750000,2006760000
2018-06-13,329700000,2172770000
2018-06-14,341170000,2188230000
2018-06-15,659370000,3043790000
2018-06-18,337070000,2093950000
2018-06-19,376380000,2269000000
2018-06-20,359520000,2305100000
2018-06-21,349570000,2315880000
2018-06-22,473970000,3928340000
2018-06-25,439130000,2415090000
2018-06-26,301130000,2058640000
2018-06-27,313790000,2306430000
2018-06-28,305020000,2195400000
2018-06-29,329070000,2192010000
2018-07-02,244110000,1767910000
2018-07-03,160960000,1179310000
2018-07-05,237670000,1745030000
2018-07-06,219450000,1704580000
2018-07-09,240580000,1837330000
2018-07-10,235040000,1725210000
2018-07-11,237370000,1761420000
2018-07-12,233150000,1926110000
2018-07-13,255520000,1714140000
2018-07-16,231270000,1730190000
2018-07-17,250450000,1740680000
2018-07-18,252870000,1857670000
2018-07-19,285760000,1853030000
2018-07-20,274080000,1786250000
2018-07-23,228820000,1654290000
2018-07-24,274940000,2014850000
2018-07-25,273670000,1902790000
2018-07-26,297530000,2263070000
2018-07-27,329680000,2176170000
2018-07-30,296880000,2143410000
2018-07-31,348700000,2195050000
2018-08-01,315880000,2223550000
2018-08-02,307700000,2081300000
2018-08-03,239020000,2018700000
2018-08-06,238990000,2238170000
2018-08-07,239910000,2197590000
2018-08-08,217770000,2087850000
2018-08-09,214970000,2032950000
2018-08-10,234480000,2095180000
2018-08-13,219990000,1914240000
2018-08-14,219210000,1917360000
2018-08-15,295810000,2286960000
2018-08-16,342430000,1979540000
2018-08-17,284160000,1843150000
2018-08-20,248570000,1698970000
2018-08-21,241620000,1766630000
2018-08-22,200480000,1660460000
2018-08-23,213270000,1879890000
2018-08-24,200330000,1886600000
2018-08-27,220510000,2319130000
2018-08-28,211470000,1961300000
2018-08-29,214960000,1897000000
2018-08-30,240440000,2014450000
2018-08-31,273440000,1899910000
2018-09-04,254600000,2229520000
2018-09-05,289210000,2596780000
2018-09-06,262380000,2368680000
2018-09-07,281350000,2146380000
2018-09-10,252170000,2041450000
2018-09-11,265960000,2336600000
2018-09-12,282770000,2341850000
2018-09-13,260800000,2318720000
2018-09-14,228640000,2033720000
2018-09-17,230230000,2284140000
2018-09-18,243000000,2317990000
2018-09-19,251330000,2156730000
2018-09-20,260480000,2287150000
2018-09-21,657620000,3706820000
2018-09-24,254850000,2416380000
2018-09-25,234110000,2288140000
2018-09-26,262620000,2297030000
2018-09-27,226350000,2053770000
2018-09-28,264030000,2323940000
2018-10-01,238320000,2283230000
2018-10-02,258290000,2391370000
2018-10-03,280130000,3057330000
2018-10-04,289600000,3284550000
2018-10-05,267100000,2672900000
2018-10-08,273020000,2239640000
2018-10-09,282560000,2459040000
2018-10-10,438200000,3077330000
2018-10-11,522880000,3139290000
2018-10-12,397510000,2650290000
2018-10-15,287320000,2148850000
2018-10-16,305800000,2623300000
2018-10-17,298210000,2364720000
2018-10-18,328020000,2545950000
2018-10-19,350810000,2532220000
2018-10-22,314940000,2282400000
2018-10-23,436430000,2735820000
2018-10-24,496400000,2935550000
2018-10-25,439670000,2741810000
2018-10-26,505310000,2964780000
2018-10-29,443850000,2689550000
2018-10-30,470050000,2681310000
2018-10-31,448930000,2899730000
2018-11-01,383970000,2708880000
2018-11-02,429480000,2889910000
2018-11-05,334740000,2166470000
2018-11-06,265450000,2285680000
2018-11-07,361780000,2677530000
2018-11-08,295650000,2462430000
2018-11-09,324450000,2418490000
2018-11-12,346910000,2289070000
2018-11-13,339690000,2343940000
2018-11-14,384240000,2540220000
2018-11-15,392750000,2508720000
2018-11-16,354460000,2438260000
2018-11-19,358090000,2354020000
2018-11-20,445920000,2664950000
2018-11-21,289370000,1858050000
2018-11-23,155940000,958950000
2018-11-26,306280000,2011180000
2018-11-27,308250000,2067360000
2018-11-28,362160000,2390260000
2018-11-29,305110000,1983460000
2018-11-30,482250000,2542820000
2018-12-03,388480000,2621020000
2018-12-04,418900000,2635810000
2018-12-06,471690000,2833870000
2018-12-07,398230000,2475160000
2018-12-10,389690000,2367560000
2018-12-11,342960000,2246060000
2018-12-12,344330000,2412300000
2018-12-13,299970000,2143520000
2018-12-14,416940000,2200510000
2018-12-17,466740000,2665240000
2018-12-18,408070000,2595400000
2018-12-19,503550000,2899950000
2018-12-20,576700000,3258090000
2018-12-21,900510000,4534120000
2018-12-24,308420000,1647270000
2018-12-26,433080000,2558940000
2018-12-27,407940000,2415870000
2018-12-28,336510000,2199090000
2018-12-31,288830000,2098560000
2019-01-02,321570000,2261800000
2019-01-03,424240000,2607290000
